Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006326899980194867,0.011693799984641373,0.011693799984641373,17.366519100032747,space,17.34306980005931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Trust,Believe,Distrust,Believe,Distrust,similar,Believe,0,0,0,left,0,5.456250799936242,None,,,,,,,,,,,,0,0,0,47,,,,,17.417075800010934,,,,,,,,,17.407628000015393,17.417075800010934,17.417075800010934,17.417075800010934,17.863795200013556,17.863795200013556,17.863795200013556,17.863795200013556,17.91379300004337,22.87987389997579,left,0,5.456250799936242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Hard,Arduous,Soft,Arduous,Soft,opposite,Soft,1,1,0,right,0,6.764534799964167,None,,,,,,,,,,,,0,1,1,5,,,,,22.89598939998541,,,,,,,,,22.891802199999802,22.89598939998541,22.89598939998541,22.89598939998541,23.371301700011827,23.371301700011827,23.371301700011827,23.371301700011827,23.3877560000401,29.668686399934813,right,0,6.764534799964167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Short,Brief,Lengthy,Brief,Lengthy,similar,Brief,2,2,0,left,0,5.578689000103623,None,,,,,,,,,,,,0,2,2,29,,,,,29.684228500002064,,,,,,,,,29.679954099934548,29.684228500002064,29.684228500002064,29.684228500002064,30.167572999955155,30.167572999955155,30.167572999955155,30.167572999955155,30.1758361000102,35.268084099981934,left,0,5.578689000103623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Cold,Frigid,Hot,Frigid,Hot,similar,Frigid,3,3,0,right,0,2.4185815999517217,None,,,,,,,,,,,,0,3,3,17,,,,,35.284390899934806,,,,,,,,,35.27970049995929,35.284390899934806,35.284390899934806,35.284390899934806,35.76589289994445,35.76589289994445,35.76589289994445,35.76589289994445,35.781959300045855,37.704773999983445,right,0,2.4185815999517217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Predict,Foresee,Overlook,Foresee,Overlook,opposite,Overlook,4,4,0,right,0,10.370960399974138,None,,,,,,,,,,,,0,4,4,48,,,,,37.72040700004436,,,,,,,,,37.71524289995432,37.72040700004436,37.72040700004436,37.72040700004436,38.20281769998837,38.20281769998837,38.20281769998837,38.20281769998837,38.21101299999282,48.09434239997063,right,0,10.370960399974138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Tall,Towering,Short,Towering,Short,similar,Towering,5,5,0,left,0,9.409874099888839,None,,,,,,,,,,,,0,5,5,42,,,,,48.109892899985425,,,,,,,,,48.104667100007646,48.109892899985425,48.109892899985425,48.109892899985425,48.59247219993267,48.59247219993267,48.59247219993267,48.59247219993267,48.60051250003744,57.52742189995479,left,0,9.409874099888839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Rough,Abrasive,Smooth,Abrasive,Smooth,opposite,Smooth,6,6,0,right,0,9.865412799990736,None,,,,,,,,,,,,0,6,6,40,,,,,57.54764939995948,,,,,,,,,57.543330600019544,57.54764939995948,57.54764939995948,57.54764939995948,58.02562600001693,58.02562600001693,58.02562600001693,58.02562600001693,58.043317200033925,67.418800799991,right,0,9.865412799990736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Safe,Secure,Perilous,Secure,Perilous,similar,Secure,7,7,0,left,0,4.095135499956086,None,,,,,,,,,,,,0,7,7,34,,,,,67.43398989993148,,,,,,,,,67.42964879993815,67.43398989993148,67.43398989993148,67.43398989993148,67.91693479998503,67.91693479998503,67.91693479998503,67.91693479998503,67.92500569997355,71.53698770003393,left,0,4.095135499956086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Deep,Profound,Shallow,Profound,Shallow,opposite,Shallow,8,8,0,left,0,4.326925299945287,None,,,,,,,,,,,,0,8,8,22,,,,,71.55255959997885,,,,,,,,,71.54819669993594,71.55255959997885,71.55255959997885,71.55255959997885,72.0345405000262,72.0345405000262,72.0345405000262,72.0345405000262,72.05095529998653,75.88054469996132,left,0,4.326925299945287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Wide,Expansive,Narrow,Expansive,Narrow,similar,Expansive,9,9,0,left,0,9.908911400008947,None,,,,,,,,,,,,0,9,9,27,,,,,75.90346369997133,,,,,,,,,75.89755789993796,75.90346369997133,75.90346369997133,75.90346369997133,76.3788853000151,76.3788853000151,76.3788853000151,76.3788853000151,76.40196739998646,85.81816409993917,left,0,9.908911400008947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Bright,Luminous,Dim,Luminous,Dim,opposite,Dim,10,10,0,right,0,3.508946800022386,None,,,,,,,,,,,,0,10,10,1,,,,,85.83335770003032,,,,,,,,,85.82912230002694,85.83335770003032,85.83335770003032,85.83335770003032,86.31070679996628,86.31070679996628,86.31070679996628,86.31070679996628,86.32616749999579,89.34571280004457,right,0,3.508946800022386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Close,Near,Distant,Near,Distant,opposite,Distant,11,11,0,right,0,6.475784200010821,None,,,,,,,,,,,,0,11,11,28,,,,,89.3574911999749,,,,,,,,,89.35289159999229,89.3574911999749,89.3574911999749,89.3574911999749,89.84412559994962,89.84412559994962,89.84412559994962,89.84412559994962,89.85239509993698,95.83390269998927,right,0,6.475784200010821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Kind,Benevolent,Cruel,Benevolent,Cruel,similar,Benevolent,12,12,0,left,0,9.37668569991365,None,,,,,,,,,,,,0,12,12,19,,,,,95.85096740000881,,,,,,,,,95.8458488000324,95.85096740000881,95.85096740000881,95.85096740000881,96.33287050004583,96.33287050004583,96.33287050004583,96.33287050004583,96.34948760003317,105.23619560000952,left,0,9.37668569991365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Large,Massive,Tiny,Massive,Tiny,similar,Massive,13,13,0,left,0,6.33474830002524,None,,,,,,,,,,,,0,13,13,11,,,,,105.254234299995,,,,,,,,,105.24979000003077,105.254234299995,105.254234299995,105.254234299995,105.73470389994327,105.73470389994327,105.73470389994327,105.73470389994327,105.74927809997462,111.59088259993587,left,0,6.33474830002524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Smooth,Sleek,Rough,Sleek,Rough,opposite,Rough,14,14,0,right,0,5.993679400067776,None,,,,,,,,,,,,0,14,14,41,,,,,111.6053420000244,,,,,,,,,111.59996959997807,111.6053420000244,111.6053420000244,111.6053420000244,112.08772680000402,112.08772680000402,112.08772680000402,112.08772680000402,112.09700189996511,117.60352050000802,right,0,5.993679400067776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Honest,Sincere,Deceitful,Sincere,Deceitful,opposite,Deceitful,15,15,0,right,0,3.4580285999691114,None,,,,,,,,,,,,0,15,15,3,,,,,117.61714420001954,,,,,,,,,117.61270840000361,117.61714420001954,117.61714420001954,117.61714420001954,118.10185289999936,118.10185289999936,118.10185289999936,118.10185289999936,118.11056349996943,121.08103550004307,right,0,3.4580285999691114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Easy,Effortless,Arduous,Effortless,Arduous,similar,Effortless,16,16,0,left,0,4.612125499988906,None,,,,,,,,,,,,0,16,16,2,,,,,121.09689319995232,,,,,,,,,121.09213000000454,121.09689319995232,121.09689319995232,121.09689319995232,121.58043400000315,121.58043400000315,121.58043400000315,121.58043400000315,121.58821049996186,125.71416800003499,left,0,4.612125499988906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Sharp,Acute,Blunt,Acute,Blunt,opposite,Blunt,17,17,0,left,0,6.155189499957487,None,,,,,,,,,,,,0,17,17,26,,,,,125.72692709998228,,,,,,,,,125.72201279993169,125.72692709998228,125.72692709998228,125.72692709998228,126.20574749994557,126.20574749994557,126.20574749994557,126.20574749994557,126.22180419997312,131.88678259996232,left,0,6.155189499957487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Heavy,Burdensome,Light,Burdensome,Light,opposite,Light,18,18,0,right,0,8.054262700024992,None,,,,,,,,,,,,0,18,18,36,,,,,131.90205699997023,,,,,,,,,131.89615169994067,131.90205699997023,131.90205699997023,131.90205699997023,132.3778615000192,132.3778615000192,132.3778615000192,132.3778615000192,132.39399190002587,139.95816329994705,right,0,8.054262700024992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Slow,Leisurely,Rapid,Leisurely,Rapid,similar,Leisurely,19,19,0,left,0,7.106530399993062,None,,,,,,,,,,,,0,19,19,23,,,,,139.97721829998773,,,,,,,,,139.97198789997492,139.97721829998773,139.97721829998773,139.97721829998773,140.45524129993282,140.45524129993282,140.45524129993282,140.45524129993282,140.47123030002695,147.08538579999004,left,0,7.106530399993062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Begin,Initiate,Conclude,Initiate,Conclude,similar,Initiate,20,20,0,left,0,4.577961599919945,None,,,,,,,,,,,,0,20,20,15,,,,,147.1018541000085,,,,,,,,,147.0966855000006,147.1018541000085,147.1018541000085,147.1018541000085,147.58482200000435,147.58482200000435,147.58482200000435,147.58482200000435,147.59192449995317,151.68464630004019,left,0,4.577961599919945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Soft,Supple,Hard,Supple,Hard,opposite,Hard,21,21,0,right,0,3.3528802000219002,None,,,,,,,,,,,,0,21,21,25,,,,,151.700533599942,,,,,,,,,151.6949803000316,151.700533599942,151.700533599942,151.700533599942,152.1752215999877,152.1752215999877,152.1752215999877,152.1752215999877,152.19172470003832,155.05391939997207,right,0,3.3528802000219002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Fresh,Novel,Rotten,Novel,Rotten,opposite,Rotten,22,22,0,left,0,3.431034000008367,None,,,,,,,,,,,,0,22,22,38,,,,,155.06714239995927,,,,,,,,,155.06088669993915,155.06714239995927,155.06714239995927,155.06714239995927,155.54528750001919,155.54528750001919,155.54528750001919,155.54528750001919,155.5608880999498,158.5065742000006,left,0,3.431034000008367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
Rich,Affluent,Poor,Affluent,Poor,opposite,Poor,23,23,0,right,0,5.3734042000724,None,,,,,,,,,,,,0,23,23,24,,,,,158.5202761000255,,,,,,,,,158.51573300000746,158.5202761000255,158.5202761000255,158.5202761000255,159.00462959997822,159.00462959997822,159.00462959997822,159.00462959997822,159.01289350003935,163.89766629994847,right,0,5.3734042000724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,477652,001,2025-11-24_16h26.40.006,Solo Project,,2025.1.1,123.80006777867521,2025-11-24 16h26.41.874098 +0530,
