Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0181734,,0.0063759,0.0181734,0.5006855,0.5006855,0.5184307,0.7976429,0.9724404,right,10,1,1,0.4591919,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
1,2,8,0.9791822,,0.9727851,0.9791822,1.4715034,1.4715034,1.4715034,1.7693373,1.7952247,right,8,1,1,0.316119,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
2,2,6,1.8034994,,1.7954567,1.8034994,2.2942485,2.2942485,2.3022344,2.5930548,2.6189797,right,6,1,1,0.3217646,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
3,2,4,2.6333759,,2.6192463,2.6333759,3.1121788,3.1121788,3.1351859,3.4120241,3.47282,left,-4,1,1,0.3524637,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
4,2,2,3.4828589,,3.4733492,3.4828589,3.9694552,3.9694552,3.9852255,4.2671363,4.3928524,left,-2,1,1,0.4164193,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
5,2,1,4.3992576,,4.3931018,4.3992576,4.8899934,4.8899934,4.8986005,5.1909221,5.1775629,left,-1,1,1,0.2841157,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
6,2,1,5.1909221,,5.1778137,5.1909221,5.6725339,5.6725339,5.6906924,5.9791258,5.9796583,left,-1,1,1,0.2939095,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
7,2,1,5.9886821,,5.9799112,5.9886821,6.4708402,6.4708402,6.4877217,6.7687061,6.7859067,left,-1,1,1,0.3069743,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
8,2,1,6.7939369,,6.7860715,6.7939369,7.2775137,7.2775137,7.2862305,7.5758682,7.6191117,left,-1,1,1,0.3364972,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
9,2,1,7.6462455,,7.6195393,7.6462455,8.1177372,8.1177372,8.1423175,8.4095846,8.4101698,left,-1,1,1,0.2883014,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
10,1,1,8.4167285,,8.410433,8.4167285,8.9104521,8.9104521,8.926208,9.2076557,9.2418611,right,1,0,0,0.3273916,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
11,1,2,9.2514254,,9.2421454,9.2514254,9.7502752,9.7502752,9.7660587,10.0480097,10.1481577,right,2,0,0,0.391618,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
12,1,3,10.1557654,,10.1484272,10.1557654,10.6467429,10.6467429,10.6467429,10.9400563,10.9297947,right,3,1,1,0.2774334,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
13,1,3,10.9400563,,10.9300356,10.9400563,11.4288228,11.4288228,11.4397628,11.7192658,11.7126286,right,3,1,1,0.2809714,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
14,1,3,11.7192658,,11.7128632,11.7192658,12.2104866,12.2104866,12.2104866,12.5042954,12.5055798,right,3,1,1,0.2865841,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
15,1,2,12.5170733,,12.5061133,12.5170733,13.003263,13.003263,13.0167072,13.3004337,13.4015595,left,-2,1,1,0.396021,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
16,0.5,2,13.4080392,,13.4018087,13.4080392,13.8991942,13.8991942,13.8991942,14.1903956,14.2405932,right,2,0,0,0.3367669,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
17,0.5,2.5,14.2498709,,14.2408261,14.2498709,14.7487286,14.7487286,14.7487286,15.0393637,15.1144891,left,-2.5,1,1,0.3629571,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
18,0.5,2.5,15.1220118,,15.1147319,15.1220118,15.6126782,15.6126782,15.6126782,15.9054868,15.9799758,right,2.5,1,1,0.361638,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
19,0.5,2.5,15.9943699,,15.9802462,15.9943699,16.4780901,16.4780901,16.4866759,16.7690298,16.9029572,left,-2.5,1,1,0.418184,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
20,0.5,2,16.9180259,,16.9032306,16.9180259,17.4019936,17.4019936,17.4099666,17.7008864,17.7417615,right,2,1,1,0.3242266,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
21,0.5,2,17.7539548,,17.7420053,17.7539548,18.2336116,18.2336116,18.2503192,18.5327591,18.616567,right,2,1,1,0.3783303,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
22,0.5,2,18.6258594,,18.6168016,18.6258594,19.1243583,19.1243583,19.1243583,19.4234531,19.4459391,right,2,1,1,0.3106392,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
23,0.5,1.5,19.4563427,,19.4462528,19.4563427,19.9398673,19.9398673,19.946943,20.2381366,20.2720033,right,1.5,1,1,0.3263474,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
24,0.5,1.5,20.2796,,20.2722898,20.2796,20.7799974,20.7799974,20.7799974,21.0785691,21.1727405,left,-1.5,1,1,0.3858592,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
25,0.5,1.5,21.1873005,,21.1729899,21.1873005,21.677519,21.677519,21.6857225,21.9679148,22.0542577,right,1.5,1,1,0.3722819,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
26,0.5,1,22.066367,,22.0545059,22.066367,22.5500714,22.5500714,22.5584237,22.842301,22.8665573,right,1,1,1,0.3029527,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
27,0.5,1,22.8803169,,22.8668258,22.8803169,23.3579556,23.3579556,23.3745606,23.6485302,23.7669406,left,-1,1,1,0.4057771,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
28,0.5,1,23.7837125,,23.7672353,23.7837125,24.2734882,24.2734882,24.2837875,,24.5545708,left,-1,0,0,0.2671041,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
29,0.5,1.5,24.5668466,,24.5548266,24.5668466,25.0462714,25.0462714,25.0627893,25.3454738,25.382075,right,1.5,1,1,0.330564,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
30,0.5,1.5,25.3941674,,25.382376,25.3941674,25.8812227,25.8812227,25.89611,,26.0804996,left,-1.5,1,1,0.1905183,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
31,0.5,1.5,26.0929468,,26.0807655,26.0929468,26.5842812,26.5842812,26.5930754,,26.8017239,left,-1.5,0,0,0.2121412,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
32,0.5,2,26.8114852,,26.8019746,26.8114852,27.300472,27.300472,27.309247,27.5919163,27.7171654,left,-2,0,0,0.4096336,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
33,0.5,2.5,27.7319216,,27.7174473,27.7319216,28.215894,28.215894,28.2243815,28.5076949,28.6159923,left,-2.5,0,0,0.3943626,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
34,0.5,3,28.6255092,,28.6162277,28.6255092,29.1139616,29.1139616,29.1222094,29.4053751,29.4549806,left,-3,1,1,0.3319171,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
35,0.5,3,29.4636484,,29.4552237,29.4636484,29.9564943,29.9564943,29.9722246,,30.1885809,left,-3,0,0,0.2192365,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
36,0.5,3.5,30.2041705,,30.1888448,30.2041705,30.6878678,30.6878678,30.6944035,30.9856112,31.0531478,left,-3.5,1,1,0.3605734,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
37,0.5,3.5,31.0627757,,31.0533967,31.0627757,31.5530201,31.5530201,31.5665323,31.8584367,31.8452785,left,-3.5,1,1,0.2893478,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
38,0.5,3.5,31.8584367,,31.8455353,31.8584367,32.3419903,32.3419903,32.3503536,32.6426909,32.6432318,right,3.5,0,0,0.2883016,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
39,0.5,4,32.6490031,,32.6434772,32.6490031,33.1392733,33.1392733,33.1491039,33.4317582,33.7002248,right,4,1,1,0.5574227,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
40,0.5,4,33.7127523,,33.700543,33.7127523,34.2033339,34.2033339,34.2130417,34.4956883,34.6045725,left,-4,1,1,0.398384,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
41,0.5,4,34.6192203,,34.6048355,34.6192203,35.0953169,35.0953169,35.1115508,,35.36152,right,4,1,1,0.2609269,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
42,0.5,3.5,35.3695221,,35.3617818,35.3695221,35.8520047,35.8520047,35.8643705,36.1430998,36.325213,left,-3.5,1,1,0.4606052,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
43,0.5,3.5,36.3347158,,36.3254597,36.3347158,36.8195395,36.8195395,36.8338522,37.1162387,37.1096266,left,-3.5,0,0,0.28684,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
44,0.5,4,37.1162387,,37.1098814,37.1162387,37.6057234,37.6057234,37.6149253,37.9058929,37.9649103,right,4,1,1,0.3521817,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
45,0.5,4,37.9732313,,37.9651587,37.9732313,38.4642802,38.4642802,38.4735828,38.7575133,38.7717926,right,4,1,1,0.2977418,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
46,0.5,4,38.7800977,,38.7720814,38.7800977,39.2697581,39.2697581,39.2799198,39.5647417,39.6145923,left,-4,0,0,0.3385088,213485,1,2025-09-04_11h32.29.325,Adaptive Staircase Experiment,,2025.1.1,79.94244145,2025-09-04 11h32.30.890525 +0530
