Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp
Angry,Irate,Calm,Irate,Calm,opposite,Calm
Bright,Luminous,Dim,Luminous,Dim,opposite,Dim
Easy,Effortless,Arduous,Effortless,Arduous,similar,Effortless
Honest,Sincere,Deceitful,Sincere,Deceitful,opposite,Deceitful
Calm,Serene,Agitated,Serene,Agitated,opposite,Agitated
Hard,Arduous,Soft,Arduous,Soft,opposite,Soft
Old,Ancient,Modern,Ancient,Modern,similar,Ancient
Beautiful,Elegant,Hideous,Elegant,Hideous,opposite,Hideous
Funny,Humorous,Solemn,Humorous,Solemn,similar,Humorous
Happy,Elated,Miserable,Elated,Miserable,similar,Elated
Lonely,Isolated,Sociable,Isolated,Sociable,opposite,Sociable
Large,Massive,Tiny,Massive,Tiny,similar,Massive
Smart,Astute,Foolish,Astute,Foolish,similar,Astute
Brave,Valiant,Cowardly,Valiant,Cowardly,similar,Valiant
Silent,Muted,Noisy,Muted,Noisy,similar,Muted
Begin,Initiate,Conclude,Initiate,Conclude,similar,Initiate
Tired,Weary,Energetic,Weary,Energetic,opposite,Energetic
Cold,Frigid,Hot,Frigid,Hot,similar,Frigid
Strong,Robust,Fragile,Robust,Fragile,opposite,Fragile
Kind,Benevolent,Cruel,Benevolent,Cruel,similar,Benevolent
Weak,Feeble,Strong,Feeble,Strong,opposite,Strong
Clean,Immaculate,Dirty,Immaculate,Dirty,opposite,Dirty
Deep,Profound,Shallow,Profound,Shallow,opposite,Shallow
Slow,Leisurely,Rapid,Leisurely,Rapid,similar,Leisurely
Rich,Affluent,Poor,Affluent,Poor,opposite,Poor
Soft,Supple,Hard,Supple,Hard,opposite,Hard
Sharp,Acute,Blunt,Acute,Blunt,opposite,Blunt
Wide,Expansive,Narrow,Expansive,Narrow,similar,Expansive
Close,Near,Distant,Near,Distant,opposite,Distant
Short,Brief,Lengthy,Brief,Lengthy,similar,Brief
Bitter,Acrid,Sweet,Acrid,Sweet,similar,Acrid
Sweet,Sugary,Bitter,Sugary,Bitter,opposite,Bitter
Proud,Conceited,Humble,Conceited,Humble,similar,Conceited
Polite,Courteous,Rude,Courteous,Rude,similar,Courteous
Safe,Secure,Perilous,Secure,Perilous,similar,Secure
Dangerous,Hazardous,Safe,Hazardous,Safe,opposite,Safe
Heavy,Burdensome,Light,Burdensome,Light,opposite,Light
Light,Radiant,Dark,Radiant,Dark,opposite,Dark
Fresh,Novel,Rotten,Novel,Rotten,opposite,Rotten
Quiet,Tranquil,Loud,Tranquil,Loud,opposite,Loud
Rough,Abrasive,Smooth,Abrasive,Smooth,opposite,Smooth
Smooth,Sleek,Rough,Sleek,Rough,opposite,Rough
Tall,Towering,Short,Towering,Short,similar,Towering
Shortage,Deficit,Surplus,Deficit,Surplus,similar,Deficit
Fear,Dread,Courage,Dread,Courage,similar,Dread
Joy,Delight,Misery,Delight,Misery,similar,Delight
Hope,Optimism,Despair,Optimism,Despair,similar,Optimism
Trust,Believe,Distrust,Believe,Distrust,similar,Believe
Predict,Foresee,Overlook,Foresee,Overlook,opposite,Overlook
Curious,Inquisitive,Indifferent,Inquisitive,Indifferent,similar,Inquisitive
