Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064006,0.010837,0.010837,37.3226111,space,37.3039087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Easy,Effortless,Arduous,Effortless,Arduous,similar,Effortless,0,0,0,left,0,5.6017852,None,,,,,,,,,,,,0,0,0,2,,,,,37.3949401,,,,,,,,,37.3877302,37.3949401,37.3949401,37.3949401,37.8239421,37.8239421,37.8239421,37.8239421,37.887604,43.0049612,left,0,5.6017852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Calm,Serene,Agitated,Serene,Agitated,opposite,Agitated,1,1,0,right,0,12.1862542,None,,,,,,,,,,,,0,1,1,4,,,,,43.0248531,,,,,,,,,43.0181249,43.0248531,43.0248531,43.0248531,43.5029431,43.5029431,43.5029431,43.5029431,43.5195032,55.2175747,right,0,12.1862542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Weak,Feeble,Strong,Feeble,Strong,opposite,Strong,2,2,0,right,0,4.3236693,None,,,,,,,,,,,,0,2,2,20,,,,,55.2371863,,,,,,,,,55.2330607,55.2371863,55.2371863,55.2371863,55.7140815,55.7140815,55.7140815,55.7140815,55.7310079,59.5659225,right,0,4.3236693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Joy,Delight,Misery,Delight,Misery,similar,Delight,3,3,0,left,0,3.432684,None,,,,,,,,,,,,0,3,3,45,,,,,59.592622,,,,,,,,,59.5869731,59.592622,59.592622,59.592622,60.0660774,60.0660774,60.0660774,60.0660774,60.0898484,63.0277427,left,0,3.432684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Smart,Astute,Foolish,Astute,Foolish,similar,Astute,4,4,0,left,0,4.6075139,None,,,,,,,,,,,,0,4,4,12,,,,,63.049492,,,,,,,,,63.0418678,63.049492,63.049492,63.049492,63.5250303,63.5250303,63.5250303,63.5250303,63.542367,67.6598687,left,0,4.6075139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Silent,Muted,Noisy,Muted,Noisy,similar,Muted,5,5,0,left,0,3.1281516,None,,,,,,,,,,,,0,5,5,14,,,,,67.6784842,,,,,,,,,67.6727185,67.6784842,67.6784842,67.6784842,68.1522835,68.1522835,68.1522835,68.1522835,68.1754511,70.812386,left,0,3.1281516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Sweet,Sugary,Bitter,Sugary,Bitter,opposite,Bitter,6,6,0,right,0,2.6053429,None,,,,,,,,,,,,0,6,6,31,,,,,70.8313468,,,,,,,,,70.8271445,70.8313468,70.8313468,70.8313468,71.3111778,71.3111778,71.3111778,71.3111778,71.3276415,73.4413449,right,0,2.6053429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Heavy,Burdensome,Light,Burdensome,Light,opposite,Light,7,7,0,right,0,3.6968469,None,,,,,,,,,,,,0,7,7,36,,,,,73.4643922,,,,,,,,,73.4574268,73.4643922,73.4643922,73.4643922,73.9407934,73.9407934,73.9407934,73.9407934,73.9566284,77.1681053,right,0,3.6968469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Dangerous,Hazardous,Safe,Hazardous,Safe,opposite,Safe,8,8,0,right,0,3.5406639,None,,,,,,,,,,,,0,8,8,35,,,,,77.1885172,,,,,,,,,77.1833315,77.1885172,77.1885172,77.1885172,77.6591454,77.6591454,77.6591454,77.6591454,77.6840381,80.7377091,right,0,3.5406639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
