Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047354999696835876,0.0077664999989792705,0.0077664999989792705,17.068883599946275,space,17.052218800061382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Soft,Supple,Hard,Supple,Hard,opposite,Hard,0,0,0,right,0,8.34781359997578,None,,,,,,,,,,,,0,0,0,25,,,,,17.117489699972793,,,,,,,,,17.112510700011626,17.117489699972793,17.117489699972793,17.117489699972793,17.56894689996261,17.56894689996261,17.56894689996261,17.56894689996261,17.608653499977663,25.471556199947372,right,0,8.34781359997578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Smart,Astute,Foolish,Astute,Foolish,similar,Astute,1,1,0,left,0,7.64573059999384,None,,,,,,,,,,,,0,1,1,12,,,,,25.489009400014766,,,,,,,,,25.484309899969958,25.489009400014766,25.489009400014766,25.489009400014766,25.969072600011714,25.969072600011714,25.969072600011714,25.969072600011714,25.985422200057656,33.139684200054035,left,0,7.64573059999384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Fear,Dread,Courage,Dread,Courage,similar,Dread,2,2,0,left,0,9.322721900069155,None,,,,,,,,,,,,0,2,2,44,,,,,33.15313300001435,,,,,,,,,33.14973950001877,33.15313300001435,33.15313300001435,33.15313300001435,33.63877369998954,33.63877369998954,33.63877369998954,33.63877369998954,33.64700740005355,42.48122349998448,left,0,9.322721900069155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Deep,Profound,Shallow,Profound,Shallow,opposite,Shallow,3,3,0,right,0,6.0408138000639156,None,,,,,,,,,,,,0,3,3,22,,,,,42.49703720002435,,,,,,,,,42.49240949994419,42.49703720002435,42.49703720002435,42.49703720002435,42.980126500013284,42.980126500013284,42.980126500013284,42.980126500013284,42.988604399957694,48.545919300056994,right,0,6.0408138000639156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Rich,Affluent,Poor,Affluent,Poor,opposite,Poor,4,4,0,right,0,3.759166599949822,None,,,,,,,,,,,,0,4,4,24,,,,,48.565026900032535,,,,,,,,,48.56012679997366,48.565026900032535,48.565026900032535,48.565026900032535,49.044368400005624,49.044368400005624,49.044368400005624,49.044368400005624,49.060866600018926,52.33045280002989,right,0,3.759166599949822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Fresh,Novel,Rotten,Novel,Rotten,opposite,Rotten,5,5,0,right,0,4.385699699982069,None,,,,,,,,,,,,0,5,5,38,,,,,52.345411099959165,,,,,,,,,52.34172679996118,52.345411099959165,52.345411099959165,52.345411099959165,52.82110499998089,52.82110499998089,52.82110499998089,52.82110499998089,52.83788510004524,56.73943670000881,right,0,4.385699699982069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Heavy,Burdensome,Light,Burdensome,Light,opposite,Light,6,6,0,right,0,2.252113699913025,None,,,,,,,,,,,,0,6,6,36,,,,,56.752070800052024,,,,,,,,,56.7484025999438,56.752070800052024,56.752070800052024,56.752070800052024,57.23003990005236,57.23003990005236,57.23003990005236,57.23003990005236,57.24674259999301,59.0105669000186,right,0,2.252113699913025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Short,Brief,Lengthy,Brief,Lengthy,similar,Brief,7,7,0,left,0,7.513832899974659,None,,,,,,,,,,,,0,7,7,29,,,,,59.02471449994482,,,,,,,,,59.021387099986896,59.02471449994482,59.02471449994482,59.02471449994482,59.51084020000417,59.51084020000417,59.51084020000417,59.51084020000417,59.51738820003811,66.54764250002336,left,0,7.513832899974659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Proud,Conceited,Humble,Conceited,Humble,similar,Conceited,8,8,0,right,0,7.235197699978016,None,,,,,,,,,,,,0,8,8,32,,,,,66.56393309996929,,,,,,,,,66.55839050002396,66.56393309996929,66.56393309996929,66.56393309996929,67.04614919994492,67.04614919994492,67.04614919994492,67.04614919994492,67.06235539994668,73.80102300003637,right,0,7.235197699978016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
