thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.09606481481481481)],[np.float64(-0.27546296296296297)],[1],[0],[0],[1.5586240000557154],['Target'],0,0,0,0,0.033843900077044964,,10,0.02548980014398694,0.033843900077044964,0.033843900077044964,0.02551009994931519,1.5841882000677288,[np.float64(-0.09606481481481481)],[np.float64(-0.27546296296296297)],[1],[0],[0],[1.5586240000557154],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
1,0,1,[np.float64(-0.36226851851851855)],[np.float64(-0.25925925925925924)],[1],[0],[0],[1.0122533000539988],['Target'],1,0,1,0,1.5987544001545757,,5,1.5938995000906289,1.5987544001545757,1.5987544001545757,0.009564799955114722,2.6062076999805868,[np.float64(-0.36226851851851855)],[np.float64(-0.25925925925925924)],[1],[0],[0],[1.0122533000539988],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
2,0,2,[np.float64(-0.30787037037037035)],[np.float64(-0.1909722222222222)],[1],[0],[0],[1.090033199870959],[None],2,0,2,0,2.6203264000359923,,5,2.6156145001295954,2.6203264000359923,2.6203264000359923,0.00931680016219616,3.7057886000256985,[np.float64(-0.30787037037037035)],[np.float64(-0.1909722222222222)],[1],[0],[0],[1.090033199870959],[None],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
3,0,3,[np.float64(-0.1701388888888889)],[np.float64(-0.2025462962962963)],[1],[0],[0],[1.0533932000398636],['Target'],3,0,3,0,3.7311794999986887,,5,3.725079199997708,3.7311794999986887,3.7311794999986887,0.019064899999648333,4.77859800006263,[np.float64(-0.1701388888888889)],[np.float64(-0.2025462962962963)],[1],[0],[0],[1.0533932000398636],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
4,0,4,[np.float64(0.020833333333333332)],[np.float64(-0.41898148148148145)],[1],[0],[0],[2.309304099995643],['Target'],4,0,4,0,4.815365500049666,,10,4.80801900010556,4.815365500049666,4.815365500049666,0.029197900090366602,7.117432700004429,[np.float64(0.020833333333333332)],[np.float64(-0.41898148148148145)],[1],[0],[0],[2.309304099995643],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
5,0,5,[np.float64(0.42592592592592593)],[np.float64(0.19675925925925927)],[1],[0],[0],[3.236751199932769],['Target'],5,0,5,0,7.1499860000330955,,10,7.141475800191984,7.1499860000330955,7.1499860000330955,0.02379889995791018,10.378336200024933,[np.float64(0.42592592592592593)],[np.float64(0.19675925925925927)],[1],[0],[0],[3.236751199932769],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
6,0,6,[np.float64(-0.2534722222222222)],[np.float64(0.19212962962962962)],[1],[0],[0],[2.0410966998897493],['Target'],6,0,6,0,10.40518690017052,,10,10.39831170020625,10.40518690017052,10.40518690017052,0.01974570006132126,12.439536400139332,[np.float64(-0.2534722222222222)],[np.float64(0.19212962962962962)],[1],[0],[0],[2.0410966998897493],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
7,0,7,[np.float64(-0.2847222222222222)],[np.float64(-0.40625)],[1],[0],[0],[2.2306995999533683],['Target'],7,0,7,0,12.49661840009503,,10,12.481309400172904,12.49661840009503,12.49661840009503,0.04150369996204972,14.712106300052255,[np.float64(-0.2847222222222222)],[np.float64(-0.40625)],[1],[0],[0],[2.2306995999533683],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
8,0,8,[np.float64(0.23842592592592593)],[np.float64(-0.03356481481481482)],[1],[0],[0],[2.717784299980849],['Target'],8,0,8,0,14.74495660001412,,10,14.7380955000408,14.74495660001412,14.74495660001412,0.02573270001448691,17.45601570000872,[np.float64(0.23842592592592593)],[np.float64(-0.03356481481481482)],[1],[0],[0],[2.717784299980849],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
9,0,9,[np.float64(0.2048611111111111)],[np.float64(0.10185185185185185)],[1],[0],[0],[1.3506043998058885],['Target'],9,0,9,0,17.485206700162962,,10,17.4782370000612,17.485206700162962,17.485206700162962,0.02192609990015626,18.828955300152302,[np.float64(0.2048611111111111)],[np.float64(0.10185185185185185)],[1],[0],[0],[1.3506043998058885],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
