Participant,Condition ,Accuracy,Particiapant ,Mean_sound,Mean_no sound
P1,sound,1,P1,0.836734694,0.903846154
P1,sound,1,P2,0.88,0.9
P1,sound,1,P3,0.92,0.9
P1,sound,1,P4,0.92,0.92
P1,sound,1,P5,0.88,0.88
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,0,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,sound,1,,,
P1,no sound,1,,,
P1,no sound,0,,,
P1,no sound,1,,,
P1,no sound,0,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,0,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,1,,,
P1,no sound,0,,,
P1,no sound,1,,,
P1,no sound ,0,,,
P1,no sound ,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,0,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,0,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,0,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,0,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,0,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,0,,,
P2,sound,1,,,
P2,sound,1,,,
P2,sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,0,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,0,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,0,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,0,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,0,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P2,no sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,0,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,0,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,0,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,0,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,0,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,0,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,0,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,0,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,0,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P3,no sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,0,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,0,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,0,,,
P4,sound,1,,,
P4,sound,0,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,0,,,
P4,no sound,1,,,
P4,no sound,0,,,
P4,no sound,0,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,0,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P4,no sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,0,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,0,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,0,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,0,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,0,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,1,,,
P5,sound,0,,,
P5,sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,0,,,
P5,no sound,0,,,
P5,no sound,0,,,
P5,no sound,0,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,0,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,0,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
P5,no sound,1,,,
