Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0057496,0.0109442,0.0109442,41.287294,space,41.2712953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Smart,Astute,Foolish,Astute,Foolish,similar,Astute,0,0,0,left,0,43.1367964,None,,,,,,,,,,,,0,0,0,12,,,,,41.3523953,,,,,,,,,41.3435121,41.3523953,41.3523953,41.3523953,41.7876584,41.7876584,41.7876584,41.7876584,41.8446629,84.4950616,left,0,43.1367964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Trust,Believe,Distrust,Believe,Distrust,similar,Believe,1,1,0,left,0,7.3378822,None,,,,,,,,,,,,0,1,1,47,,,,,84.5170528,,,,,,,,,84.5120489,84.5170528,84.5170528,84.5170528,84.9923883,84.9923883,84.9923883,84.9923883,85.0089852,91.8556762,left,0,7.3378822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Safe,Secure,Perilous,Secure,Perilous,similar,Secure,2,2,0,left,0,3.1790308,None,,,,,,,,,,,,0,2,2,34,,,,,91.8731929,,,,,,,,,91.8677526,91.8731929,91.8731929,91.8731929,92.3545324,92.3545324,92.3545324,92.3545324,92.3713136,95.0600015,left,0,3.1790308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Soft,Supple,Hard,Supple,Hard,opposite,Hard,3,3,0,right,0,2.9537883,None,,,,,,,,,,,,0,3,3,25,,,,,95.0795309,,,,,,,,,95.0751998,95.0795309,95.0795309,95.0795309,95.5569038,95.5569038,95.5569038,95.5569038,95.5737103,98.0361671,right,0,2.9537883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Funny,Humorous,Solemn,Humorous,Solemn,similar,Humorous,4,4,0,left,0,3.1430272,None,,,,,,,,,,,,0,4,4,8,,,,,98.0561605,,,,,,,,,98.0505673,98.0561605,98.0561605,98.0561605,98.5349012,98.5349012,98.5349012,98.5349012,98.5519514,101.2061302,left,0,3.1430272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Begin,Initiate,Conclude,Initiate,Conclude,similar,Initiate,5,5,0,left,0,3.6412292,None,,,,,,,,,,,,0,5,5,15,,,,,101.2256875,,,,,,,,,101.2211256,101.2256875,101.2256875,101.2256875,101.704488,101.704488,101.704488,101.704488,101.7216563,104.8745975,left,0,3.6412292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Strong,Robust,Fragile,Robust,Fragile,opposite,Fragile,6,6,0,right,0,5.3943408,None,,,,,,,,,,,,0,6,6,18,,,,,104.8966503,,,,,,,,,104.8918579,104.8966503,104.8966503,104.8966503,105.3729918,105.3729918,105.3729918,105.3729918,105.389621,110.2980297,right,0,5.3943408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Wide,Expansive,Narrow,Expansive,Narrow,similar,Expansive,7,7,0,left,0,5.1580798,None,,,,,,,,,,,,0,7,7,27,,,,,110.3269363,,,,,,,,,110.3220493,110.3269363,110.3269363,110.3269363,110.7964872,110.7964872,110.7964872,110.7964872,110.8217306,115.4894123,left,0,5.1580798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Heavy,Burdensome,Light,Burdensome,Light,opposite,Light,8,8,0,right,0,3.5900423,None,,,,,,,,,,,,0,8,8,36,,,,,115.5109304,,,,,,,,,115.5062798,115.5109304,115.5109304,115.5109304,115.9872361,115.9872361,115.9872361,115.9872361,116.0043465,119.1073378,right,0,3.5900423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
